ปี,เดือน,ปริมาณฝน (มม.),จังหวัด
2546,ก.ค.,195.88,แพร่
2546,ส.ค.,159.27,แพร่
2546,ก.ย.,230.8,แพร่
2546,ต.ค.,15.07,แพร่
2546,พ.ย.,0.78,แพร่
2546,ธ.ค.,0.0,แพร่
2547,ม.ค.,1.95,แพร่
2547,ก.พ.,5.27,แพร่
2547,มี.ค.,0.82,แพร่
2547,เม.ย.,71.28,แพร่
2547,พ.ค.,217.36,แพร่
2547,มิ.ย.,270.7,แพร่
2547,ก.ค.,200.33,แพร่
2547,ส.ค.,97.43,แพร่
2547,ก.ย.,275.1,แพร่
2547,ต.ค.,16.73,แพร่
2547,พ.ย.,30.87,แพร่
2547,ธ.ค.,0.0,แพร่
2548,ม.ค.,17.24,แพร่
2548,ก.พ.,2.76,แพร่
2548,มี.ค.,27.81,แพร่
2548,เม.ย.,102.71,แพร่
2548,พ.ค.,103.03,แพร่
2548,มิ.ย.,176.77,แพร่
2548,ก.ค.,187.83,แพร่
2548,ส.ค.,218.92,แพร่
2548,ก.ย.,366.04,แพร่
2548,ต.ค.,48.68,แพร่
2548,พ.ย.,31.48,แพร่
2548,ธ.ค.,13.04,แพร่
2549,ม.ค.,0.0,แพร่
2549,ก.พ.,10.62,แพร่
2549,มี.ค.,28.5,แพร่
2549,เม.ย.,137.05,แพร่
2549,พ.ค.,322.26,แพร่
2549,มิ.ย.,149.07,แพร่
2549,ก.ค.,218.48,แพร่
2549,ส.ค.,298.42,แพร่
2549,ก.ย.,186.13,แพร่
2549,ต.ค.,151.27,แพร่
2549,พ.ย.,0.08,แพร่
2549,ธ.ค.,0.32,แพร่
2550,ม.ค.,0.05,แพร่
2550,ก.พ.,5.52,แพร่
2550,มี.ค.,12.22,แพร่
2550,เม.ย.,77.38,แพร่
2550,พ.ค.,267.28,แพร่
2550,มิ.ย.,141.16,แพร่
2550,ก.ค.,99.77,แพร่
2550,ส.ค.,181.92,แพร่
2550,ก.ย.,194.76,แพร่
2550,ต.ค.,93.13,แพร่
2550,พ.ย.,4.26,แพร่
2550,ธ.ค.,0.0,แพร่
2551,ม.ค.,28.09,แพร่
2551,ก.พ.,30.08,แพร่
2551,มี.ค.,27.01,แพร่
2551,เม.ย.,109.26,แพร่
2551,พ.ค.,102.1,แพร่
2551,มิ.ย.,211.4,แพร่
2551,ก.ค.,206.68,แพร่
2551,ส.ค.,167.69,แพร่
2551,ก.ย.,167.6,แพร่
2551,ต.ค.,112.79,แพร่
2551,พ.ย.,49.8,แพร่
2551,ธ.ค.,20.84,แพร่
2552,ม.ค.,0.01,แพร่
2552,ก.พ.,2.07,แพร่
2552,มี.ค.,15.84,แพร่
2552,เม.ย.,93.49,แพร่
2552,พ.ค.,184.37,แพร่
2552,มิ.ย.,214.2,แพร่
2552,ก.ค.,135.89,แพร่
2552,ส.ค.,172.97,แพร่
2552,ก.ย.,174.94,แพร่
2552,ต.ค.,95.07,แพร่
2552,พ.ย.,9.6,แพร่
2552,ธ.ค.,0.05,แพร่
2553,ม.ค.,28.74,แพร่
2553,ก.พ.,0.63,แพร่
2553,มี.ค.,13.18,แพร่
2553,เม.ย.,21.94,แพร่
2553,พ.ค.,73.57,แพร่
2553,มิ.ย.,128.93,แพร่
2553,ก.ค.,140.75,แพร่
2553,ส.ค.,405.95,แพร่
2553,ก.ย.,199.16,แพร่
2553,ต.ค.,102.46,แพร่
2553,พ.ย.,0.13,แพร่
2553,ธ.ค.,22.05,แพร่
2554,ม.ค.,3.5,แพร่
2554,ก.พ.,0.7,แพร่
2554,มี.ค.,96.99,แพร่
2554,เม.ย.,203.54,แพร่
2554,พ.ค.,229.85,แพร่
2554,มิ.ย.,198.92,แพร่
2554,ก.ค.,285.66,แพร่
2554,ส.ค.,297.09,แพร่
2554,ก.ย.,317.07,แพร่
2554,ต.ค.,112.55,แพร่
2554,พ.ย.,4.91,แพร่
2554,ธ.ค.,1.17,แพร่
2555,ม.ค.,9.46,แพร่
2555,ก.พ.,4.3,แพร่
2555,มี.ค.,45.1,แพร่
2555,เม.ย.,80.97,แพร่
2555,พ.ค.,356.14,แพร่
2555,มิ.ย.,108.11,แพร่
2555,ก.ค.,176.41,แพร่
2555,ส.ค.,150.0,แพร่
2555,ก.ย.,251.53,แพร่
2555,ต.ค.,69.51,แพร่
2555,พ.ย.,44.73,แพร่
2555,ธ.ค.,3.3,แพร่
2556,ม.ค.,43.0,แพร่
2556,ก.พ.,25.59,แพร่
2556,มี.ค.,9.64,แพร่
2556,เม.ย.,85.34,แพร่
2556,พ.ค.,123.85,แพร่
2556,มิ.ย.,105.99,แพร่
2556,ก.ค.,141.86,แพร่
2556,ส.ค.,300.92,แพร่
2556,ก.ย.,144.86,แพร่
2556,ต.ค.,120.83,แพร่
2556,พ.ย.,18.8,แพร่
2556,ธ.ค.,27.85,แพร่
