ปี,เดือน,จังหวัด,ปริมาณฝน
2536,มิ.ย.,พะเยา,98.02
2536,ก.ค.,พะเยา,182.09
2536,ส.ค.,พะเยา,193.4
2536,ก.ย.,พะเยา,192.53
2536,ต.ค.,พะเยา,98.83
2536,พ.ย.,พะเยา,0.18
2536,ธ.ค.,พะเยา,1.42
2537,ม.ค.,พะเยา,0.0
2537,ก.พ.,พะเยา,0.24
2537,มี.ค.,พะเยา,158.85
2537,เม.ย.,พะเยา,71.77
2537,พ.ค.,พะเยา,236.8
2537,มิ.ย.,พะเยา,163.27
2537,ก.ค.,พะเยา,283.29
2537,ส.ค.,พะเยา,409.12
2537,ก.ย.,พะเยา,191.99
2537,ต.ค.,พะเยา,77.12
2537,พ.ย.,พะเยา,13.86
2537,ธ.ค.,พะเยา,37.86
2538,ม.ค.,พะเยา,2.15
2538,ก.พ.,พะเยา,0.03
2538,มี.ค.,พะเยา,7.23
2538,เม.ย.,พะเยา,71.74
2538,พ.ค.,พะเยา,160.86
2538,มิ.ย.,พะเยา,100.64
2538,ก.ค.,พะเยา,360.56
2538,ส.ค.,พะเยา,447.87
2538,ก.ย.,พะเยา,187.45
2538,ต.ค.,พะเยา,110.44
2538,พ.ย.,พะเยา,97.1
2538,ธ.ค.,พะเยา,0.0
2539,ม.ค.,พะเยา,0.19
2539,ก.พ.,พะเยา,32.56
2539,มี.ค.,พะเยา,16.02
2539,เม.ย.,พะเยา,90.11
2539,พ.ค.,พะเยา,101.96
2539,มิ.ย.,พะเยา,166.22
2539,ก.ค.,พะเยา,164.75
2539,ส.ค.,พะเยา,287.69
2539,ก.ย.,พะเยา,139.57
2539,ต.ค.,พะเยา,98.02
2539,พ.ย.,พะเยา,43.38
2539,ธ.ค.,พะเยา,1.56
2540,ม.ค.,พะเยา,0.0
2540,ก.พ.,พะเยา,0.27
2540,มี.ค.,พะเยา,52.67
2540,เม.ย.,พะเยา,87.9
2540,พ.ค.,พะเยา,149.75
2540,มิ.ย.,พะเยา,71.64
2540,ก.ค.,พะเยา,254.15
2540,ส.ค.,พะเยา,304.41
2540,ก.ย.,พะเยา,245.94
2540,ต.ค.,พะเยา,56.49
2540,พ.ย.,พะเยา,7.92
2540,ธ.ค.,พะเยา,0.0
2541,ม.ค.,พะเยา,28.11
2541,ก.พ.,พะเยา,0.41
2541,มี.ค.,พะเยา,17.31
2541,เม.ย.,พะเยา,84.04
2541,พ.ค.,พะเยา,171.09
2541,มิ.ย.,พะเยา,171.1
2541,ก.ค.,พะเยา,163.77
2541,ส.ค.,พะเยา,253.65
2541,ก.ย.,พะเยา,273.65
2541,ต.ค.,พะเยา,42.44
2541,พ.ย.,พะเยา,27.36
2541,ธ.ค.,พะเยา,1.94
2542,ม.ค.,พะเยา,18.02
2542,ก.พ.,พะเยา,16.09
2542,มี.ค.,พะเยา,33.27
2542,เม.ย.,พะเยา,158.97
2542,พ.ค.,พะเยา,191.55
2542,มิ.ย.,พะเยา,186.47
2542,ก.ค.,พะเยา,109.31
2542,ส.ค.,พะเยา,281.52
2542,ก.ย.,พะเยา,281.11
2542,ต.ค.,พะเยา,161.39
2542,พ.ย.,พะเยา,35.35
2542,ธ.ค.,พะเยา,20.55
2543,ม.ค.,พะเยา,0.05
2543,ก.พ.,พะเยา,62.35
2543,มี.ค.,พะเยา,25.83
2543,เม.ย.,พะเยา,97.54
2543,พ.ค.,พะเยา,241.33
2543,มิ.ย.,พะเยา,192.4
2543,ก.ค.,พะเยา,212.38
2543,ส.ค.,พะเยา,198.07
2543,ก.ย.,พะเยา,151.15
2543,ต.ค.,พะเยา,93.06
2543,พ.ย.,พะเยา,4.04
2543,ธ.ค.,พะเยา,1.27
2544,ม.ค.,พะเยา,2.1
2544,ก.พ.,พะเยา,0.0
2544,มี.ค.,พะเยา,147.93
2544,เม.ย.,พะเยา,37.71
2544,พ.ค.,พะเยา,265.56
2544,มิ.ย.,พะเยา,136.75
2544,ก.ค.,พะเยา,292.35
2544,ส.ค.,พะเยา,391.34
2544,ก.ย.,พะเยา,223.32
2544,ต.ค.,พะเยา,161.81
2544,พ.ย.,พะเยา,9.02
2544,ธ.ค.,พะเยา,6.87
2545,ม.ค.,พะเยา,8.66
2545,ก.พ.,พะเยา,7.35
2545,มี.ค.,พะเยา,14.74
2545,เม.ย.,พะเยา,66.85
2545,พ.ค.,พะเยา,354.75
2545,มิ.ย.,พะเยา,141.86
2545,ก.ค.,พะเยา,203.02
2545,ส.ค.,พะเยา,263.21
2545,ก.ย.,พะเยา,233.61
2545,ต.ค.,พะเยา,64.56
2545,พ.ย.,พะเยา,127.75
2545,ธ.ค.,พะเยา,56.75
2546,ม.ค.,พะเยา,13.03
2546,ก.พ.,พะเยา,7.51
2546,มี.ค.,พะเยา,85.87
2546,เม.ย.,พะเยา,39.9
2546,พ.ค.,พะเยา,96.33
2546,มิ.ย.,พะเยา,152.55
2546,ก.ค.,พะเยา,164.26
2546,ส.ค.,พะเยา,244.36
2546,ก.ย.,พะเยา,312.89
2546,ต.ค.,พะเยา,32.99
2546,พ.ย.,พะเยา,5.67
2546,ธ.ค.,พะเยา,0.1
2547,ม.ค.,พะเยา,15.35
2547,ก.พ.,พะเยา,0.86
2547,มี.ค.,พะเยา,3.36
2547,เม.ย.,พะเยา,133.87
2547,พ.ค.,พะเยา,241.39
2547,มิ.ย.,พะเยา,176.98
2547,ก.ค.,พะเยา,217.99
2547,ส.ค.,พะเยา,185.24
2547,ก.ย.,พะเยา,339.88
2547,ต.ค.,พะเยา,23.57
2547,พ.ย.,พะเยา,33.48
2547,ธ.ค.,พะเยา,0.0
2548,ม.ค.,พะเยา,1.6
2548,ก.พ.,พะเยา,1.52
2548,มี.ค.,พะเยา,56.88
2548,เม.ย.,พะเยา,91.69
2548,พ.ค.,พะเยา,171.22
2548,มิ.ย.,พะเยา,166.0
2548,ก.ค.,พะเยา,242.08
2548,ส.ค.,พะเยา,303.83
2548,ก.ย.,พะเยา,369.09
2548,ต.ค.,พะเยา,133.36
2548,พ.ย.,พะเยา,31.68
2548,ธ.ค.,พะเยา,16.85
2549,ม.ค.,พะเยา,0.0
2549,ก.พ.,พะเยา,12.05
2549,มี.ค.,พะเยา,50.99
2549,เม.ย.,พะเยา,138.62
2549,พ.ค.,พะเยา,189.53
2549,มิ.ย.,พะเยา,87.74
2549,ก.ค.,พะเยา,198.69
2549,ส.ค.,พะเยา,433.53
2549,ก.ย.,พะเยา,205.11
2549,ต.ค.,พะเยา,122.57
2549,พ.ย.,พะเยา,0.3
2549,ธ.ค.,พะเยา,0.11
2550,ม.ค.,พะเยา,0.0
2550,ก.พ.,พะเยา,0.62
