ปี,เดือน,ปริมาณฝน,จังหวัด
2557,ส.ค.,228.08,ลำปาง
2557,ก.ย.,171.78,ลำปาง
2557,ต.ค.,112.62,ลำปาง
2557,พ.ย.,67.45,ลำปาง
2557,ธ.ค.,0.08,ลำปาง
2558,ม.ค.,73.71,ลำปาง
2558,ก.พ.,1.42,ลำปาง
2558,มี.ค.,36.8,ลำปาง
2558,เม.ย.,64.23,ลำปาง
2558,พ.ค.,123.05,ลำปาง
2558,มิ.ย.,72.31,ลำปาง
2558,ก.ค.,123.91,ลำปาง
2558,ส.ค.,145.67,ลำปาง
2558,ก.ย.,157.16,ลำปาง
2558,ต.ค.,88.33,ลำปาง
2558,พ.ย.,20.98,ลำปาง
2558,ธ.ค.,50.68,ลำปาง
2559,ม.ค.,59.12,ลำปาง
2559,ก.พ.,6.22,ลำปาง
2559,มี.ค.,1.27,ลำปาง
2559,เม.ย.,31.88,ลำปาง
2559,พ.ค.,113.53,ลำปาง
2559,มิ.ย.,155.27,ลำปาง
2559,ก.ค.,156.85,ลำปาง
2559,ส.ค.,183.54,ลำปาง
2559,ก.ย.,220.46,ลำปาง
2559,ต.ค.,156.48,ลำปาง
2559,พ.ย.,52.81,ลำปาง
2559,ธ.ค.,5.09,ลำปาง
2560,ม.ค.,59.24,ลำปาง
2560,ก.พ.,0.0,ลำปาง
2560,มี.ค.,28.64,ลำปาง
2560,เม.ย.,114.94,ลำปาง
2560,พ.ค.,279.64,ลำปาง
2560,มิ.ย.,131.11,ลำปาง
2560,ก.ค.,197.02,ลำปาง
2560,ส.ค.,255.52,ลำปาง
2560,ก.ย.,180.09,ลำปาง
2560,ต.ค.,222.67,ลำปาง
2560,พ.ย.,22.08,ลำปาง
2560,ธ.ค.,30.05,ลำปาง
2561,ม.ค.,10.4,ลำปาง
2561,ก.พ.,14.58,ลำปาง
2561,มี.ค.,20.17,ลำปาง
2561,เม.ย.,134.78,ลำปาง
2561,พ.ค.,238.25,ลำปาง
2561,มิ.ย.,141.47,ลำปาง
2561,ก.ค.,172.15,ลำปาง
2561,ส.ค.,137.46,ลำปาง
2561,ก.ย.,114.18,ลำปาง
2561,ต.ค.,173.33,ลำปาง
2561,พ.ย.,8.01,ลำปาง
2561,ธ.ค.,13.97,ลำปาง
2562,ม.ค.,30.61,ลำปาง
2562,ก.พ.,2.89,ลำปาง
2562,มี.ค.,12.61,ลำปาง
2562,เม.ย.,20.45,ลำปาง
2562,พ.ค.,129.72,ลำปาง
2562,มิ.ย.,73.12,ลำปาง
2562,ก.ค.,83.83,ลำปาง
2562,ส.ค.,335.11,ลำปาง
2562,ก.ย.,159.86,ลำปาง
2562,ต.ค.,78.73,ลำปาง
2562,พ.ย.,13.94,ลำปาง
2562,ธ.ค.,9.4,ลำปาง
2563,ม.ค.,0.02,ลำปาง
2563,ก.พ.,0.03,ลำปาง
2563,มี.ค.,5.89,ลำปาง
2563,เม.ย.,77.71,ลำปาง
2563,พ.ค.,92.02,ลำปาง
2563,มิ.ย.,140.37,ลำปาง
2563,ก.ค.,98.67,ลำปาง
2563,ส.ค.,251.88,ลำปาง
2563,ก.ย.,161.61,ลำปาง
2563,ต.ค.,100.27,ลำปาง
2563,พ.ย.,7.5,ลำปาง
2563,ธ.ค.,0.0,ลำปาง
2564,ม.ค.,1.8,ลำปาง
2564,ก.พ.,18.93,ลำปาง
2564,มี.ค.,4.36,ลำปาง
2564,เม.ย.,172.93,ลำปาง
2564,พ.ค.,91.69,ลำปาง
2564,มิ.ย.,77.04,ลำปาง
2564,ก.ค.,219.87,ลำปาง
2564,ส.ค.,184.85,ลำปาง
2564,ก.ย.,311.25,ลำปาง
2564,ต.ค.,168.75,ลำปาง
2564,พ.ย.,10.32,ลำปาง
2564,ธ.ค.,1.08,ลำปาง
2565,ม.ค.,22.37,ลำปาง
2565,ก.พ.,49.64,ลำปาง
2565,มี.ค.,48.15,ลำปาง
2565,เม.ย.,115.61,ลำปาง
2565,พ.ค.,257.65,ลำปาง
2565,มิ.ย.,85.2,ลำปาง
2565,ก.ค.,183.37,ลำปาง
2565,ส.ค.,245.61,ลำปาง
2565,ก.ย.,355.07,ลำปาง
2565,ต.ค.,115.32,ลำปาง
2565,พ.ย.,22.98,ลำปาง
2565,ธ.ค.,10.93,ลำปาง
2566,ม.ค.,0.05,ลำปาง
2566,ก.พ.,9.69,ลำปาง
2566,มี.ค.,13.83,ลำปาง
2566,เม.ย.,9.45,ลำปาง
2566,พ.ค.,138.03,ลำปาง
2566,มิ.ย.,87.92,ลำปาง
2566,ก.ค.,103.02,ลำปาง
2566,ส.ค.,71.59,ลำปาง
2566,ก.ย.,390.48,ลำปาง
2566,ต.ค.,255.78,ลำปาง
2566,พ.ย.,18.22,ลำปาง
